Sample Name	Protocol REF	Date	Performer	Parameter Value[chromatography instrument]	Parameter Value[chromatography column]	Parameter Value[elution program]	Extract Name	Protocol REF	Date	Performer	MS Assay Name	Parameter Value[randomized run order]	Parameter Value[injection mode]	Parameter Value[instrument]	Parameter Value[scan polarity]	Raw Spectral Data File
studygroup_319e8aa8-a116-4418-8f66-95636f47d014_subject#0_sample#0_tears	metabolite extraction	2019-08-29	Alice	Agilent Q12324A	AB Hydroxyapatite	Acetonitrile 90%, water 10% for 30 min, flow rate: 1ml/min	studygroup_319e8aa8-a116-4418-8f66-95636f47d014_subject#0_sample#0_tears_extract-0	GC-negative mass spectrometry	2019-08-29	Frank	assay-name-0_run-0	0	GC	Agilent QTOF	negative	acquired-data-0_platform-GC_negative_run-0.mzml.gz
studygroup_319e8aa8-a116-4418-8f66-95636f47d014_subject#0_sample#1_tears	metabolite extraction	2019-08-29	Alice	Agilent Q12324A	AB Hydroxyapatite	Acetonitrile 90%, water 10% for 30 min, flow rate: 1ml/min	studygroup_319e8aa8-a116-4418-8f66-95636f47d014_subject#0_sample#1_tears_extract-1	GC-negative mass spectrometry	2019-08-29	Frank	assay-name-1_run-0	1	GC	Agilent QTOF	negative	acquired-data-1_platform-GC_negative_run-0.mzml.gz
studygroup_319e8aa8-a116-4418-8f66-95636f47d014_subject#0_sample#2_tears	metabolite extraction	2019-08-29	Alice	Agilent Q12324A	AB Hydroxyapatite	Acetonitrile 90%, water 10% for 30 min, flow rate: 1ml/min	studygroup_319e8aa8-a116-4418-8f66-95636f47d014_subject#0_sample#2_tears_extract-2	GC-negative mass spectrometry	2019-08-29	Frank	assay-name-2_run-0	2	GC	Agilent QTOF	negative	acquired-data-2_platform-GC_negative_run-0.mzml.gz
studygroup_319e8aa8-a116-4418-8f66-95636f47d014_subject#0_sample#3_tears	metabolite extraction	2019-08-29	Alice	Agilent Q12324A	AB Hydroxyapatite	Acetonitrile 90%, water 10% for 30 min, flow rate: 1ml/min	studygroup_319e8aa8-a116-4418-8f66-95636f47d014_subject#0_sample#3_tears_extract-3	GC-negative mass spectrometry	2019-08-29	Frank	assay-name-3_run-0	3	GC	Agilent QTOF	negative	acquired-data-3_platform-GC_negative_run-0.mzml.gz
studygroup_319e8aa8-a116-4418-8f66-95636f47d014_subject#1_sample#0_tears	metabolite extraction	2019-08-29	Alice	Agilent Q12324A	AB Hydroxyapatite	Acetonitrile 90%, water 10% for 30 min, flow rate: 1ml/min	studygroup_319e8aa8-a116-4418-8f66-95636f47d014_subject#1_sample#0_tears_extract-4	GC-negative mass spectrometry	2019-08-29	Frank	assay-name-4_run-0	4	GC	Agilent QTOF	negative	acquired-data-4_platform-GC_negative_run-0.mzml.gz
studygroup_319e8aa8-a116-4418-8f66-95636f47d014_subject#1_sample#1_tears	metabolite extraction	2019-08-29	Alice	Agilent Q12324A	AB Hydroxyapatite	Acetonitrile 90%, water 10% for 30 min, flow rate: 1ml/min	studygroup_319e8aa8-a116-4418-8f66-95636f47d014_subject#1_sample#1_tears_extract-5	GC-negative mass spectrometry	2019-08-29	Frank	assay-name-5_run-0	5	GC	Agilent QTOF	negative	acquired-data-5_platform-GC_negative_run-0.mzml.gz
studygroup_319e8aa8-a116-4418-8f66-95636f47d014_subject#1_sample#2_tears	metabolite extraction	2019-08-29	Alice	Agilent Q12324A	AB Hydroxyapatite	Acetonitrile 90%, water 10% for 30 min, flow rate: 1ml/min	studygroup_319e8aa8-a116-4418-8f66-95636f47d014_subject#1_sample#2_tears_extract-6	GC-negative mass spectrometry	2019-08-29	Frank	assay-name-6_run-0	6	GC	Agilent QTOF	negative	acquired-data-6_platform-GC_negative_run-0.mzml.gz
studygroup_319e8aa8-a116-4418-8f66-95636f47d014_subject#1_sample#3_tears	metabolite extraction	2019-08-29	Alice	Agilent Q12324A	AB Hydroxyapatite	Acetonitrile 90%, water 10% for 30 min, flow rate: 1ml/min	studygroup_319e8aa8-a116-4418-8f66-95636f47d014_subject#1_sample#3_tears_extract-7	GC-negative mass spectrometry	2019-08-29	Frank	assay-name-7_run-0	7	GC	Agilent QTOF	negative	acquired-data-7_platform-GC_negative_run-0.mzml.gz
studygroup_319e8aa8-a116-4418-8f66-95636f47d014_subject#2_sample#0_tears	metabolite extraction	2019-08-29	Alice	Agilent Q12324A	AB Hydroxyapatite	Acetonitrile 90%, water 10% for 30 min, flow rate: 1ml/min	studygroup_319e8aa8-a116-4418-8f66-95636f47d014_subject#2_sample#0_tears_extract-8	GC-negative mass spectrometry	2019-08-29	Frank	assay-name-8_run-0	8	GC	Agilent QTOF	negative	acquired-data-8_platform-GC_negative_run-0.mzml.gz
studygroup_319e8aa8-a116-4418-8f66-95636f47d014_subject#2_sample#1_tears	metabolite extraction	2019-08-29	Alice	Agilent Q12324A	AB Hydroxyapatite	Acetonitrile 90%, water 10% for 30 min, flow rate: 1ml/min	studygroup_319e8aa8-a116-4418-8f66-95636f47d014_subject#2_sample#1_tears_extract-9	GC-negative mass spectrometry	2019-08-29	Frank	assay-name-9_run-0	9	GC	Agilent QTOF	negative	acquired-data-9_platform-GC_negative_run-0.mzml.gz
