Sample Name	Protocol REF	Date	Performer	Parameter Value[chromatography instrument]	Parameter Value[chromatography column]	Parameter Value[elution program]	Extract Name	Protocol REF	Date	Performer	MS Assay Name	Parameter Value[randomized run order]	Parameter Value[injection mode]	Parameter Value[instrument]	Parameter Value[scan polarity]	Raw Spectral Data File
studygroup_49a02258-ccf9-4937-a63d-4a957fb323d9_subject#0_sample#0_sweat	metabolite extraction	2019-08-29	Alice	Agilent Q12324A	AB Hydroxyapatite	Acetonitrile 90%, water 10% for 30 min, flow rate: 1ml/min	studygroup_49a02258-ccf9-4937-a63d-4a957fb323d9_subject#0_sample#0_sweat_extract-0	LC-negative mass spectrometry	2019-08-29	Frank	assay-name-0_run-0	0	LC	Agilent QTOF	negative	acquired-data-0_platform-LC_negative_run-0.mzml.gz
studygroup_49a02258-ccf9-4937-a63d-4a957fb323d9_subject#0_sample#1_sweat	metabolite extraction	2019-08-29	Alice	Agilent Q12324A	AB Hydroxyapatite	Acetonitrile 90%, water 10% for 30 min, flow rate: 1ml/min	studygroup_49a02258-ccf9-4937-a63d-4a957fb323d9_subject#0_sample#1_sweat_extract-1	LC-negative mass spectrometry	2019-08-29	Frank	assay-name-1_run-0	1	LC	Agilent QTOF	negative	acquired-data-1_platform-LC_negative_run-0.mzml.gz
studygroup_49a02258-ccf9-4937-a63d-4a957fb323d9_subject#0_sample#2_sweat	metabolite extraction	2019-08-29	Alice	Agilent Q12324A	AB Hydroxyapatite	Acetonitrile 90%, water 10% for 30 min, flow rate: 1ml/min	studygroup_49a02258-ccf9-4937-a63d-4a957fb323d9_subject#0_sample#2_sweat_extract-2	LC-negative mass spectrometry	2019-08-29	Frank	assay-name-2_run-0	2	LC	Agilent QTOF	negative	acquired-data-2_platform-LC_negative_run-0.mzml.gz
studygroup_49a02258-ccf9-4937-a63d-4a957fb323d9_subject#0_sample#3_sweat	metabolite extraction	2019-08-29	Alice	Agilent Q12324A	AB Hydroxyapatite	Acetonitrile 90%, water 10% for 30 min, flow rate: 1ml/min	studygroup_49a02258-ccf9-4937-a63d-4a957fb323d9_subject#0_sample#3_sweat_extract-3	LC-negative mass spectrometry	2019-08-29	Frank	assay-name-3_run-0	3	LC	Agilent QTOF	negative	acquired-data-3_platform-LC_negative_run-0.mzml.gz
studygroup_49a02258-ccf9-4937-a63d-4a957fb323d9_subject#1_sample#0_sweat	metabolite extraction	2019-08-29	Alice	Agilent Q12324A	AB Hydroxyapatite	Acetonitrile 90%, water 10% for 30 min, flow rate: 1ml/min	studygroup_49a02258-ccf9-4937-a63d-4a957fb323d9_subject#1_sample#0_sweat_extract-4	LC-negative mass spectrometry	2019-08-29	Frank	assay-name-4_run-0	4	LC	Agilent QTOF	negative	acquired-data-4_platform-LC_negative_run-0.mzml.gz
studygroup_49a02258-ccf9-4937-a63d-4a957fb323d9_subject#1_sample#1_sweat	metabolite extraction	2019-08-29	Alice	Agilent Q12324A	AB Hydroxyapatite	Acetonitrile 90%, water 10% for 30 min, flow rate: 1ml/min	studygroup_49a02258-ccf9-4937-a63d-4a957fb323d9_subject#1_sample#1_sweat_extract-5	LC-negative mass spectrometry	2019-08-29	Frank	assay-name-5_run-0	5	LC	Agilent QTOF	negative	acquired-data-5_platform-LC_negative_run-0.mzml.gz
studygroup_49a02258-ccf9-4937-a63d-4a957fb323d9_subject#1_sample#2_sweat	metabolite extraction	2019-08-29	Alice	Agilent Q12324A	AB Hydroxyapatite	Acetonitrile 90%, water 10% for 30 min, flow rate: 1ml/min	studygroup_49a02258-ccf9-4937-a63d-4a957fb323d9_subject#1_sample#2_sweat_extract-6	LC-negative mass spectrometry	2019-08-29	Frank	assay-name-6_run-0	6	LC	Agilent QTOF	negative	acquired-data-6_platform-LC_negative_run-0.mzml.gz
studygroup_49a02258-ccf9-4937-a63d-4a957fb323d9_subject#1_sample#3_sweat	metabolite extraction	2019-08-29	Alice	Agilent Q12324A	AB Hydroxyapatite	Acetonitrile 90%, water 10% for 30 min, flow rate: 1ml/min	studygroup_49a02258-ccf9-4937-a63d-4a957fb323d9_subject#1_sample#3_sweat_extract-7	LC-negative mass spectrometry	2019-08-29	Frank	assay-name-7_run-0	7	LC	Agilent QTOF	negative	acquired-data-7_platform-LC_negative_run-0.mzml.gz
studygroup_49a02258-ccf9-4937-a63d-4a957fb323d9_subject#2_sample#0_sweat	metabolite extraction	2019-08-29	Alice	Agilent Q12324A	AB Hydroxyapatite	Acetonitrile 90%, water 10% for 30 min, flow rate: 1ml/min	studygroup_49a02258-ccf9-4937-a63d-4a957fb323d9_subject#2_sample#0_sweat_extract-8	LC-negative mass spectrometry	2019-08-29	Frank	assay-name-8_run-0	8	LC	Agilent QTOF	negative	acquired-data-8_platform-LC_negative_run-0.mzml.gz
studygroup_49a02258-ccf9-4937-a63d-4a957fb323d9_subject#2_sample#1_sweat	metabolite extraction	2019-08-29	Alice	Agilent Q12324A	AB Hydroxyapatite	Acetonitrile 90%, water 10% for 30 min, flow rate: 1ml/min	studygroup_49a02258-ccf9-4937-a63d-4a957fb323d9_subject#2_sample#1_sweat_extract-9	LC-negative mass spectrometry	2019-08-29	Frank	assay-name-9_run-0	9	LC	Agilent QTOF	negative	acquired-data-9_platform-LC_negative_run-0.mzml.gz
