Sample Name	Protocol REF	Date	Performer	Extract Name	Protocol REF	Date	Performer	MS Assay Name	Parameter Value[randomized run order]	Parameter Value[injection mode]	Parameter Value[instrument]	Parameter Value[scan polarity]	Raw Spectral Data File
studygroup_49a02258-ccf9-4937-a63d-4a957fb323d9_subject#0_sample#0_tears	metabolite extraction	2019-08-29	Erin	studygroup_49a02258-ccf9-4937-a63d-4a957fb323d9_subject#0_sample#0_tears_extract-0	FIA-positive mass spectrometry	2019-08-29	Bob	assay-name-0_run-0	0	FIA	Agilent QTOF	positive	acquired-data-0_platform-FIA_positive_run-0.mzml.gz
studygroup_49a02258-ccf9-4937-a63d-4a957fb323d9_subject#0_sample#1_tears	metabolite extraction	2019-08-29	Erin	studygroup_49a02258-ccf9-4937-a63d-4a957fb323d9_subject#0_sample#1_tears_extract-1	FIA-positive mass spectrometry	2019-08-29	Bob	assay-name-1_run-0	1	FIA	Agilent QTOF	positive	acquired-data-1_platform-FIA_positive_run-0.mzml.gz
studygroup_49a02258-ccf9-4937-a63d-4a957fb323d9_subject#0_sample#2_tears	metabolite extraction	2019-08-29	Erin	studygroup_49a02258-ccf9-4937-a63d-4a957fb323d9_subject#0_sample#2_tears_extract-2	FIA-positive mass spectrometry	2019-08-29	Bob	assay-name-2_run-0	2	FIA	Agilent QTOF	positive	acquired-data-2_platform-FIA_positive_run-0.mzml.gz
studygroup_49a02258-ccf9-4937-a63d-4a957fb323d9_subject#0_sample#3_tears	metabolite extraction	2019-08-29	Erin	studygroup_49a02258-ccf9-4937-a63d-4a957fb323d9_subject#0_sample#3_tears_extract-3	FIA-positive mass spectrometry	2019-08-29	Bob	assay-name-3_run-0	3	FIA	Agilent QTOF	positive	acquired-data-3_platform-FIA_positive_run-0.mzml.gz
studygroup_49a02258-ccf9-4937-a63d-4a957fb323d9_subject#1_sample#0_tears	metabolite extraction	2019-08-29	Erin	studygroup_49a02258-ccf9-4937-a63d-4a957fb323d9_subject#1_sample#0_tears_extract-4	FIA-positive mass spectrometry	2019-08-29	Bob	assay-name-4_run-0	4	FIA	Agilent QTOF	positive	acquired-data-4_platform-FIA_positive_run-0.mzml.gz
studygroup_49a02258-ccf9-4937-a63d-4a957fb323d9_subject#1_sample#1_tears	metabolite extraction	2019-08-29	Erin	studygroup_49a02258-ccf9-4937-a63d-4a957fb323d9_subject#1_sample#1_tears_extract-5	FIA-positive mass spectrometry	2019-08-29	Bob	assay-name-5_run-0	5	FIA	Agilent QTOF	positive	acquired-data-5_platform-FIA_positive_run-0.mzml.gz
studygroup_49a02258-ccf9-4937-a63d-4a957fb323d9_subject#1_sample#2_tears	metabolite extraction	2019-08-29	Erin	studygroup_49a02258-ccf9-4937-a63d-4a957fb323d9_subject#1_sample#2_tears_extract-6	FIA-positive mass spectrometry	2019-08-29	Bob	assay-name-6_run-0	6	FIA	Agilent QTOF	positive	acquired-data-6_platform-FIA_positive_run-0.mzml.gz
studygroup_49a02258-ccf9-4937-a63d-4a957fb323d9_subject#1_sample#3_tears	metabolite extraction	2019-08-29	Erin	studygroup_49a02258-ccf9-4937-a63d-4a957fb323d9_subject#1_sample#3_tears_extract-7	FIA-positive mass spectrometry	2019-08-29	Bob	assay-name-7_run-0	7	FIA	Agilent QTOF	positive	acquired-data-7_platform-FIA_positive_run-0.mzml.gz
studygroup_49a02258-ccf9-4937-a63d-4a957fb323d9_subject#2_sample#0_tears	metabolite extraction	2019-08-29	Erin	studygroup_49a02258-ccf9-4937-a63d-4a957fb323d9_subject#2_sample#0_tears_extract-8	FIA-positive mass spectrometry	2019-08-29	Bob	assay-name-8_run-0	8	FIA	Agilent QTOF	positive	acquired-data-8_platform-FIA_positive_run-0.mzml.gz
studygroup_49a02258-ccf9-4937-a63d-4a957fb323d9_subject#2_sample#1_tears	metabolite extraction	2019-08-29	Erin	studygroup_49a02258-ccf9-4937-a63d-4a957fb323d9_subject#2_sample#1_tears_extract-9	FIA-positive mass spectrometry	2019-08-29	Bob	assay-name-9_run-0	9	FIA	Agilent QTOF	positive	acquired-data-9_platform-FIA_positive_run-0.mzml.gz
studygroup_49a02258-ccf9-4937-a63d-4a957fb323d9_subject#2_sample#2_tears	metabolite extraction	2019-08-29	Erin	studygroup_49a02258-ccf9-4937-a63d-4a957fb323d9_subject#2_sample#2_tears_extract-10	FIA-positive mass spectrometry	2019-08-29	Bob	assay-name-10_run-0	10	FIA	Agilent QTOF	positive	acquired-data-10_platform-FIA_positive_run-0.mzml.gz
studygroup_49a02258-ccf9-4937-a63d-4a957fb323d9_subject#2_sample#3_tears	metabolite extraction	2019-08-29	Erin	studygroup_49a02258-ccf9-4937-a63d-4a957fb323d9_subject#2_sample#3_tears_extract-11	FIA-positive mass spectrometry	2019-08-29	Bob	assay-name-11_run-0	11	FIA	Agilent QTOF	positive	acquired-data-11_platform-FIA_positive_run-0.mzml.gz
studygroup_49a02258-ccf9-4937-a63d-4a957fb323d9_subject#3_sample#0_tears	metabolite extraction	2019-08-29	Erin	studygroup_49a02258-ccf9-4937-a63d-4a957fb323d9_subject#3_sample#0_tears_extract-12	FIA-positive mass spectrometry	2019-08-29	Bob	assay-name-12_run-0	12	FIA	Agilent QTOF	positive	acquired-data-12_platform-FIA_positive_run-0.mzml.gz
studygroup_49a02258-ccf9-4937-a63d-4a957fb323d9_subject#3_sample#1_tears	metabolite extraction	2019-08-29	Erin	studygroup_49a02258-ccf9-4937-a63d-4a957fb323d9_subject#3_sample#1_tears_extract-13	FIA-positive mass spectrometry	2019-08-29	Bob	assay-name-13_run-0	13	FIA	Agilent QTOF	positive	acquired-data-13_platform-FIA_positive_run-0.mzml.gz
studygroup_49a02258-ccf9-4937-a63d-4a957fb323d9_subject#3_sample#2_tears	metabolite extraction	2019-08-29	Erin	studygroup_49a02258-ccf9-4937-a63d-4a957fb323d9_subject#3_sample#2_tears_extract-14	FIA-positive mass spectrometry	2019-08-29	Bob	assay-name-14_run-0	14	FIA	Agilent QTOF	positive	acquired-data-14_platform-FIA_positive_run-0.mzml.gz
studygroup_49a02258-ccf9-4937-a63d-4a957fb323d9_subject#3_sample#3_tears	metabolite extraction	2019-08-29	Erin	studygroup_49a02258-ccf9-4937-a63d-4a957fb323d9_subject#3_sample#3_tears_extract-15	FIA-positive mass spectrometry	2019-08-29	Bob	assay-name-15_run-0	15	FIA	Agilent QTOF	positive	acquired-data-15_platform-FIA_positive_run-0.mzml.gz
studygroup_49a02258-ccf9-4937-a63d-4a957fb323d9_subject#4_sample#0_tears	metabolite extraction	2019-08-29	Erin	studygroup_49a02258-ccf9-4937-a63d-4a957fb323d9_subject#4_sample#0_tears_extract-16	FIA-positive mass spectrometry	2019-08-29	Bob	assay-name-16_run-0	16	FIA	Agilent QTOF	positive	acquired-data-16_platform-FIA_positive_run-0.mzml.gz
studygroup_49a02258-ccf9-4937-a63d-4a957fb323d9_subject#4_sample#1_tears	metabolite extraction	2019-08-29	Erin	studygroup_49a02258-ccf9-4937-a63d-4a957fb323d9_subject#4_sample#1_tears_extract-17	FIA-positive mass spectrometry	2019-08-29	Bob	assay-name-17_run-0	17	FIA	Agilent QTOF	positive	acquired-data-17_platform-FIA_positive_run-0.mzml.gz
studygroup_49a02258-ccf9-4937-a63d-4a957fb323d9_subject#4_sample#2_tears	metabolite extraction	2019-08-29	Erin	studygroup_49a02258-ccf9-4937-a63d-4a957fb323d9_subject#4_sample#2_tears_extract-18	FIA-positive mass spectrometry	2019-08-29	Bob	assay-name-18_run-0	18	FIA	Agilent QTOF	positive	acquired-data-18_platform-FIA_positive_run-0.mzml.gz
studygroup_49a02258-ccf9-4937-a63d-4a957fb323d9_subject#4_sample#3_tears	metabolite extraction	2019-08-29	Erin	studygroup_49a02258-ccf9-4937-a63d-4a957fb323d9_subject#4_sample#3_tears_extract-19	FIA-positive mass spectrometry	2019-08-29	Bob	assay-name-19_run-0	19	FIA	Agilent QTOF	positive	acquired-data-19_platform-FIA_positive_run-0.mzml.gz
studygroup_94b3e599-b5fa-4b72-97a8-d51c6a94cd7b_subject#0_sample#0_tears	metabolite extraction	2019-08-29	Erin	studygroup_94b3e599-b5fa-4b72-97a8-d51c6a94cd7b_subject#0_sample#0_tears_extract-20	FIA-positive mass spectrometry	2019-08-29	Bob	assay-name-20_run-0	20	FIA	Agilent QTOF	positive	acquired-data-20_platform-FIA_positive_run-0.mzml.gz
studygroup_94b3e599-b5fa-4b72-97a8-d51c6a94cd7b_subject#0_sample#1_tears	metabolite extraction	2019-08-29	Erin	studygroup_94b3e599-b5fa-4b72-97a8-d51c6a94cd7b_subject#0_sample#1_tears_extract-21	FIA-positive mass spectrometry	2019-08-29	Bob	assay-name-21_run-0	21	FIA	Agilent QTOF	positive	acquired-data-21_platform-FIA_positive_run-0.mzml.gz
studygroup_94b3e599-b5fa-4b72-97a8-d51c6a94cd7b_subject#0_sample#2_tears	metabolite extraction	2019-08-29	Erin	studygroup_94b3e599-b5fa-4b72-97a8-d51c6a94cd7b_subject#0_sample#2_tears_extract-22	FIA-positive mass spectrometry	2019-08-29	Bob	assay-name-22_run-0	22	FIA	Agilent QTOF	positive	acquired-data-22_platform-FIA_positive_run-0.mzml.gz
studygroup_94b3e599-b5fa-4b72-97a8-d51c6a94cd7b_subject#0_sample#3_tears	metabolite extraction	2019-08-29	Erin	studygroup_94b3e599-b5fa-4b72-97a8-d51c6a94cd7b_subject#0_sample#3_tears_extract-23	FIA-positive mass spectrometry	2019-08-29	Bob	assay-name-23_run-0	23	FIA	Agilent QTOF	positive	acquired-data-23_platform-FIA_positive_run-0.mzml.gz
studygroup_94b3e599-b5fa-4b72-97a8-d51c6a94cd7b_subject#1_sample#0_tears	metabolite extraction	2019-08-29	Erin	studygroup_94b3e599-b5fa-4b72-97a8-d51c6a94cd7b_subject#1_sample#0_tears_extract-24	FIA-positive mass spectrometry	2019-08-29	Bob	assay-name-24_run-0	24	FIA	Agilent QTOF	positive	acquired-data-24_platform-FIA_positive_run-0.mzml.gz
studygroup_94b3e599-b5fa-4b72-97a8-d51c6a94cd7b_subject#1_sample#1_tears	metabolite extraction	2019-08-29	Erin	studygroup_94b3e599-b5fa-4b72-97a8-d51c6a94cd7b_subject#1_sample#1_tears_extract-25	FIA-positive mass spectrometry	2019-08-29	Bob	assay-name-25_run-0	25	FIA	Agilent QTOF	positive	acquired-data-25_platform-FIA_positive_run-0.mzml.gz
studygroup_94b3e599-b5fa-4b72-97a8-d51c6a94cd7b_subject#1_sample#2_tears	metabolite extraction	2019-08-29	Erin	studygroup_94b3e599-b5fa-4b72-97a8-d51c6a94cd7b_subject#1_sample#2_tears_extract-26	FIA-positive mass spectrometry	2019-08-29	Bob	assay-name-26_run-0	26	FIA	Agilent QTOF	positive	acquired-data-26_platform-FIA_positive_run-0.mzml.gz
