Sample Name	Protocol REF	Date	Performer	Parameter Value[chromatography instrument]	Parameter Value[chromatography column]	Parameter Value[elution program]	Extract Name	Protocol REF	Date	Performer	MS Assay Name	Parameter Value[randomized run order]	Parameter Value[injection mode]	Parameter Value[instrument]	Parameter Value[scan polarity]	Raw Spectral Data File
studygroup_49a02258-ccf9-4937-a63d-4a957fb323d9_subject#0_sample#0_tears	metabolite extraction	2019-08-29	Dan	Agilent Q12324A	AB Hydroxyapatite	Acetonitrile 90%, water 10% for 30 min, flow rate: 1ml/min	studygroup_49a02258-ccf9-4937-a63d-4a957fb323d9_subject#0_sample#0_tears_extract-0	GC-positive mass spectrometry	2019-08-29	Carol	assay-name-0_run-0	0	GC	Agilent QTOF	positive	acquired-data-0_platform-GC_positive_run-0.mzml.gz
studygroup_49a02258-ccf9-4937-a63d-4a957fb323d9_subject#0_sample#1_tears	metabolite extraction	2019-08-29	Dan	Agilent Q12324A	AB Hydroxyapatite	Acetonitrile 90%, water 10% for 30 min, flow rate: 1ml/min	studygroup_49a02258-ccf9-4937-a63d-4a957fb323d9_subject#0_sample#1_tears_extract-1	GC-positive mass spectrometry	2019-08-29	Carol	assay-name-1_run-0	1	GC	Agilent QTOF	positive	acquired-data-1_platform-GC_positive_run-0.mzml.gz
studygroup_49a02258-ccf9-4937-a63d-4a957fb323d9_subject#0_sample#2_tears	metabolite extraction	2019-08-29	Dan	Agilent Q12324A	AB Hydroxyapatite	Acetonitrile 90%, water 10% for 30 min, flow rate: 1ml/min	studygroup_49a02258-ccf9-4937-a63d-4a957fb323d9_subject#0_sample#2_tears_extract-2	GC-positive mass spectrometry	2019-08-29	Carol	assay-name-2_run-0	2	GC	Agilent QTOF	positive	acquired-data-2_platform-GC_positive_run-0.mzml.gz
studygroup_49a02258-ccf9-4937-a63d-4a957fb323d9_subject#0_sample#3_tears	metabolite extraction	2019-08-29	Dan	Agilent Q12324A	AB Hydroxyapatite	Acetonitrile 90%, water 10% for 30 min, flow rate: 1ml/min	studygroup_49a02258-ccf9-4937-a63d-4a957fb323d9_subject#0_sample#3_tears_extract-3	GC-positive mass spectrometry	2019-08-29	Carol	assay-name-3_run-0	3	GC	Agilent QTOF	positive	acquired-data-3_platform-GC_positive_run-0.mzml.gz
studygroup_49a02258-ccf9-4937-a63d-4a957fb323d9_subject#1_sample#0_tears	metabolite extraction	2019-08-29	Dan	Agilent Q12324A	AB Hydroxyapatite	Acetonitrile 90%, water 10% for 30 min, flow rate: 1ml/min	studygroup_49a02258-ccf9-4937-a63d-4a957fb323d9_subject#1_sample#0_tears_extract-4	GC-positive mass spectrometry	2019-08-29	Carol	assay-name-4_run-0	4	GC	Agilent QTOF	positive	acquired-data-4_platform-GC_positive_run-0.mzml.gz
studygroup_49a02258-ccf9-4937-a63d-4a957fb323d9_subject#1_sample#1_tears	metabolite extraction	2019-08-29	Dan	Agilent Q12324A	AB Hydroxyapatite	Acetonitrile 90%, water 10% for 30 min, flow rate: 1ml/min	studygroup_49a02258-ccf9-4937-a63d-4a957fb323d9_subject#1_sample#1_tears_extract-5	GC-positive mass spectrometry	2019-08-29	Carol	assay-name-5_run-0	5	GC	Agilent QTOF	positive	acquired-data-5_platform-GC_positive_run-0.mzml.gz
studygroup_49a02258-ccf9-4937-a63d-4a957fb323d9_subject#1_sample#2_tears	metabolite extraction	2019-08-29	Dan	Agilent Q12324A	AB Hydroxyapatite	Acetonitrile 90%, water 10% for 30 min, flow rate: 1ml/min	studygroup_49a02258-ccf9-4937-a63d-4a957fb323d9_subject#1_sample#2_tears_extract-6	GC-positive mass spectrometry	2019-08-29	Carol	assay-name-6_run-0	6	GC	Agilent QTOF	positive	acquired-data-6_platform-GC_positive_run-0.mzml.gz
studygroup_49a02258-ccf9-4937-a63d-4a957fb323d9_subject#1_sample#3_tears	metabolite extraction	2019-08-29	Dan	Agilent Q12324A	AB Hydroxyapatite	Acetonitrile 90%, water 10% for 30 min, flow rate: 1ml/min	studygroup_49a02258-ccf9-4937-a63d-4a957fb323d9_subject#1_sample#3_tears_extract-7	GC-positive mass spectrometry	2019-08-29	Carol	assay-name-7_run-0	7	GC	Agilent QTOF	positive	acquired-data-7_platform-GC_positive_run-0.mzml.gz
studygroup_49a02258-ccf9-4937-a63d-4a957fb323d9_subject#2_sample#0_tears	metabolite extraction	2019-08-29	Dan	Agilent Q12324A	AB Hydroxyapatite	Acetonitrile 90%, water 10% for 30 min, flow rate: 1ml/min	studygroup_49a02258-ccf9-4937-a63d-4a957fb323d9_subject#2_sample#0_tears_extract-8	GC-positive mass spectrometry	2019-08-29	Carol	assay-name-8_run-0	8	GC	Agilent QTOF	positive	acquired-data-8_platform-GC_positive_run-0.mzml.gz
studygroup_49a02258-ccf9-4937-a63d-4a957fb323d9_subject#2_sample#1_tears	metabolite extraction	2019-08-29	Dan	Agilent Q12324A	AB Hydroxyapatite	Acetonitrile 90%, water 10% for 30 min, flow rate: 1ml/min	studygroup_49a02258-ccf9-4937-a63d-4a957fb323d9_subject#2_sample#1_tears_extract-9	GC-positive mass spectrometry	2019-08-29	Carol	assay-name-9_run-0	9	GC	Agilent QTOF	positive	acquired-data-9_platform-GC_positive_run-0.mzml.gz
studygroup_49a02258-ccf9-4937-a63d-4a957fb323d9_subject#2_sample#2_tears	metabolite extraction	2019-08-29	Dan	Agilent Q12324A	AB Hydroxyapatite	Acetonitrile 90%, water 10% for 30 min, flow rate: 1ml/min	studygroup_49a02258-ccf9-4937-a63d-4a957fb323d9_subject#2_sample#2_tears_extract-10	GC-positive mass spectrometry	2019-08-29	Carol	assay-name-10_run-0	10	GC	Agilent QTOF	positive	acquired-data-10_platform-GC_positive_run-0.mzml.gz
studygroup_49a02258-ccf9-4937-a63d-4a957fb323d9_subject#2_sample#3_tears	metabolite extraction	2019-08-29	Dan	Agilent Q12324A	AB Hydroxyapatite	Acetonitrile 90%, water 10% for 30 min, flow rate: 1ml/min	studygroup_49a02258-ccf9-4937-a63d-4a957fb323d9_subject#2_sample#3_tears_extract-11	GC-positive mass spectrometry	2019-08-29	Carol	assay-name-11_run-0	11	GC	Agilent QTOF	positive	acquired-data-11_platform-GC_positive_run-0.mzml.gz
studygroup_49a02258-ccf9-4937-a63d-4a957fb323d9_subject#3_sample#0_tears	metabolite extraction	2019-08-29	Dan	Agilent Q12324A	AB Hydroxyapatite	Acetonitrile 90%, water 10% for 30 min, flow rate: 1ml/min	studygroup_49a02258-ccf9-4937-a63d-4a957fb323d9_subject#3_sample#0_tears_extract-12	GC-positive mass spectrometry	2019-08-29	Carol	assay-name-12_run-0	12	GC	Agilent QTOF	positive	acquired-data-12_platform-GC_positive_run-0.mzml.gz
studygroup_49a02258-ccf9-4937-a63d-4a957fb323d9_subject#3_sample#1_tears	metabolite extraction	2019-08-29	Dan	Agilent Q12324A	AB Hydroxyapatite	Acetonitrile 90%, water 10% for 30 min, flow rate: 1ml/min	studygroup_49a02258-ccf9-4937-a63d-4a957fb323d9_subject#3_sample#1_tears_extract-13	GC-positive mass spectrometry	2019-08-29	Carol	assay-name-13_run-0	13	GC	Agilent QTOF	positive	acquired-data-13_platform-GC_positive_run-0.mzml.gz
studygroup_49a02258-ccf9-4937-a63d-4a957fb323d9_subject#3_sample#2_tears	metabolite extraction	2019-08-29	Dan	Agilent Q12324A	AB Hydroxyapatite	Acetonitrile 90%, water 10% for 30 min, flow rate: 1ml/min	studygroup_49a02258-ccf9-4937-a63d-4a957fb323d9_subject#3_sample#2_tears_extract-14	GC-positive mass spectrometry	2019-08-29	Carol	assay-name-14_run-0	14	GC	Agilent QTOF	positive	acquired-data-14_platform-GC_positive_run-0.mzml.gz
